threshold,accuracy,precision,recall,f1,tp,fp,tn,fn,total_cost
0.01,0.5952,0.5641,1.0,0.7213,22,17,3,0,17.0
0.02,0.619,0.5789,1.0,0.7333,22,16,4,0,16.0
0.03,0.6429,0.5946,1.0,0.7458,22,15,5,0,15.0
0.04,0.6667,0.6111,1.0,0.7586,22,14,6,0,14.0
0.05,0.6905,0.6286,1.0,0.7719,22,13,7,0,13.0
0.06,0.7619,0.6875,1.0,0.8148,22,10,10,0,10.0
0.07,0.7857,0.7097,1.0,0.8302,22,9,11,0,9.0
0.08,0.7857,0.7097,1.0,0.8302,22,9,11,0,9.0
0.09,0.8095,0.7333,1.0,0.8462,22,8,12,0,8.0
0.1,0.8095,0.7333,1.0,0.8462,22,8,12,0,8.0
0.11,0.8095,0.7333,1.0,0.8462,22,8,12,0,8.0
0.12,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.13,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.14,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.15,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.16,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.17,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.18,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.19,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.2,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.21,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.22,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.23,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.24,0.8333,0.7586,1.0,0.8627,22,7,13,0,7.0
0.25,0.8571,0.7857,1.0,0.88,22,6,14,0,6.0
0.26,0.8571,0.7857,1.0,0.88,22,6,14,0,6.0
0.27,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.28,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.29,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.3,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.31,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.32,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.33,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.34,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.35,0.881,0.8148,1.0,0.898,22,5,15,0,5.0
0.36,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.37,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.38,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.39,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.4,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.41,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.42,0.9048,0.8462,1.0,0.9167,22,4,16,0,4.0
0.43,0.9286,0.88,1.0,0.9362,22,3,17,0,3.0
0.44,0.9048,0.875,0.9545,0.913,21,3,17,1,8.0
0.45,0.9048,0.875,0.9545,0.913,21,3,17,1,8.0
0.46,0.9048,0.875,0.9545,0.913,21,3,17,1,8.0
0.47,0.881,0.8696,0.9091,0.8889,20,3,17,2,13.0
0.48,0.881,0.8696,0.9091,0.8889,20,3,17,2,13.0
0.49,0.881,0.8696,0.9091,0.8889,20,3,17,2,13.0
0.5,0.881,0.8696,0.9091,0.8889,20,3,17,2,13.0
0.51,0.9048,0.9091,0.9091,0.9091,20,2,18,2,12.0
0.52,0.9048,0.9091,0.9091,0.9091,20,2,18,2,12.0
0.53,0.881,0.9048,0.8636,0.8837,19,2,18,3,17.0
0.54,0.881,0.9048,0.8636,0.8837,19,2,18,3,17.0
0.55,0.881,0.9048,0.8636,0.8837,19,2,18,3,17.0
0.56,0.881,0.9048,0.8636,0.8837,19,2,18,3,17.0
0.57,0.8571,0.9,0.8182,0.8571,18,2,18,4,22.0
0.58,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.59,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.6,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.61,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.62,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.63,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.64,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.65,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.66,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.67,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.68,0.8333,0.8947,0.7727,0.8293,17,2,18,5,27.0
0.69,0.8571,0.9444,0.7727,0.85,17,1,19,5,26.0
0.7,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.71,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.72,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.73,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.74,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.75,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.76,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.77,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.78,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.79,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.8,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.81,0.881,1.0,0.7727,0.8718,17,0,20,5,25.0
0.82,0.8571,1.0,0.7273,0.8421,16,0,20,6,30.0
0.83,0.8571,1.0,0.7273,0.8421,16,0,20,6,30.0
